Time,realtime_start_NGDPSAXDCUSQ,value_NGDPSAXDCUSQ,Time_NGDPSAXDCUSQ
315,2022-02-07,272152.0,1970-10-01
316,2021-06-14,,1971-01-01
317,2022-02-07,283789.0,1971-01-01
318,2021-06-14,,1971-04-01
319,2022-02-07,289067.8,1971-04-01
320,2024-07-29,289067.8125,1971-04-01
321,2025-06-02,289067.8,1971-04-01
322,2025-06-16,289067.8125,1971-04-01
323,2025-07-21,289067.8,1971-04-01
324,2021-06-14,,1971-07-01
325,2022-02-07,294418.8,1971-07-01
326,2024-07-29,294418.8125,1971-07-01
327,2025-06-02,294418.8,1971-07-01
328,2025-06-16,294418.8125,1971-07-01
329,2025-07-21,294418.8,1971-07-01
330,2021-06-14,,1971-10-01
331,2022-02-07,297574.3,1971-10-01
332,2024-07-29,297574.3125,1971-10-01
333,2025-06-02,297574.3,1971-10-01
334,2025-06-16,297574.3125,1971-10-01
335,2025-07-21,297574.3,1971-10-01
336,2021-06-14,,1972-01-01
337,2022-02-07,307652.3,1972-01-01
338,2024-07-29,307652.3125,1972-01-01
339,2025-06-02,307652.3,1972-01-01
340,2025-06-16,307652.3125,1972-01-01
341,2025-07-21,307652.3,1972-01-01
342,2021-06-14,,1972-04-01
343,2022-02-07,316592.3,1972-04-01
344,2024-07-29,316592.3125,1972-04-01
345,2025-06-02,316592.3,1972-04-01
346,2025-06-16,316592.3125,1972-04-01
347,2025-07-21,316592.3,1972-04-01
348,2021-06-14,,1972-07-01
349,2022-02-07,322641.5,1972-07-01
350,2021-06-14,,1972-10-01
351,2022-02-07,332226.0,1972-10-01
352,2021-06-14,,1973-01-01
353,2022-02-07,344372.5,1973-01-01
354,2021-06-14,,1973-04-01
355,2022-02-07,353471.8,1973-04-01
356,2024-07-29,353471.8125,1973-04-01
357,2025-06-02,353471.8,1973-04-01
358,2025-06-16,353471.8125,1973-04-01
359,2025-07-21,353471.8,1973-04-01
360,2021-06-14,,1973-07-01
361,2022-02-07,358459.5,1973-07-01
362,2021-06-14,,1973-10-01
363,2022-02-07,369072.3,1973-10-01
364,2024-07-29,369072.3125,1973-10-01
365,2025-06-02,369072.3,1973-10-01
366,2025-06-16,369072.3125,1973-10-01
367,2025-07-21,369072.3,1973-10-01
368,2021-06-14,,1974-01-01
369,2022-02-07,372802.3,1974-01-01
370,2024-07-29,372802.3125,1974-01-01
371,2025-06-02,372802.3,1974-01-01
372,2025-06-16,372802.3125,1974-01-01
373,2025-07-21,372802.3,1974-01-01
374,2021-06-14,,1974-04-01
375,2022-02-07,382514.0,1974-04-01
376,2021-06-14,,1974-07-01
377,2022-02-07,390006.5,1974-07-01
378,2021-06-14,,1974-10-01
379,2022-02-07,399919.8,1974-10-01
380,2024-07-29,399919.8125,1974-10-01
381,2025-06-02,399919.8,1974-10-01
382,2025-06-16,399919.8125,1974-10-01
383,2025-07-21,399919.8,1974-10-01
384,2021-06-14,,1975-01-01
385,2022-02-07,404029.0,1975-01-01
386,2021-06-14,,1975-04-01
387,2022-02-07,412963.3,1975-04-01
388,2024-07-29,412963.3125,1975-04-01
389,2025-06-02,412963.3,1975-04-01
390,2025-06-16,412963.3125,1975-04-01
391,2025-07-21,412963.3,1975-04-01
392,2021-06-14,,1975-07-01
393,2022-02-07,427455.0,1975-07-01
394,2021-06-14,,1975-10-01
395,2022-02-07,440457.8,1975-10-01
396,2024-07-29,440457.8125,1975-10-01
397,2025-06-02,440457.8,1975-10-01
398,2025-06-16,440457.8125,1975-10-01
399,2025-07-21,440457.8,1975-10-01
400,2021-06-14,,1976-01-01
401,2022-02-07,455121.8,1976-01-01
402,2024-07-29,455121.8125,1976-01-01
403,2025-06-02,455121.8,1976-01-01
404,2025-06-16,455121.8125,1976-01-01
405,2025-07-21,455121.8,1976-01-01
406,2021-06-14,,1976-04-01
407,2022-02-07,463083.0,1976-04-01
408,2021-06-14,,1976-07-01
409,2022-02-07,471639.5,1976-07-01
410,2021-06-14,,1976-10-01
411,2022-02-07,483568.3,1976-10-01
412,2024-07-29,483568.3125,1976-10-01
413,2025-06-02,483568.3,1976-10-01
414,2025-06-16,483568.3125,1976-10-01
415,2025-07-21,483568.3,1976-10-01
416,2021-06-14,,1977-01-01
417,2022-02-07,497162.0,1977-01-01
418,2021-06-14,,1977-04-01
419,2022-02-07,513977.3,1977-04-01
420,2024-07-29,513977.3125,1977-04-01
421,2025-06-02,513977.3,1977-04-01
422,2025-06-16,513977.3125,1977-04-01
423,2025-07-21,513977.3,1977-04-01
424,2021-06-14,,1977-07-01
425,2022-02-07,529618.3,1977-07-01
426,2024-07-29,529618.3125,1977-07-01
427,2025-06-02,529618.3,1977-07-01
428,2025-06-16,529618.3125,1977-07-01
429,2025-07-21,529618.3,1977-07-01
430,2021-06-14,,1977-10-01
431,2022-02-07,541067.5,1977-10-01
432,2021-06-14,,1978-01-01
433,2022-02-07,550690.0,1978-01-01
434,2021-06-14,,1978-04-01
435,2022-02-07,582908.3,1978-04-01
436,2024-07-29,582908.3125,1978-04-01
437,2025-06-02,582908.3,1978-04-01
438,2025-06-16,582908.3125,1978-04-01
439,2025-07-21,582908.3,1978-04-01
440,2021-06-14,,1978-07-01
441,2022-02-07,598763.3,1978-07-01
442,2024-07-29,598763.3125,1978-07-01
443,2025-06-02,598763.3,1978-07-01
444,2025-06-16,598763.3125,1978-07-01
445,2025-07-21,598763.3,1978-07-01
446,2021-06-14,,1978-10-01
447,2022-02-07,619237.3,1978-10-01
448,2024-07-29,619237.3125,1978-10-01
449,2025-06-02,619237.3,1978-10-01
450,2025-06-16,619237.3125,1978-10-01
451,2025-07-21,619237.3,1978-10-01
452,2021-06-14,,1979-01-01
453,2022-02-07,631652.5,1979-01-01
454,2021-06-14,,1979-04-01
455,2022-02-07,647811.8,1979-04-01
456,2024-07-29,647811.8125,1979-04-01
457,2025-06-02,647811.8,1979-04-01
458,2025-06-16,647811.8125,1979-04-01
459,2025-07-21,647811.8,1979-04-01
460,2021-06-14,,1979-07-01
461,2022-02-07,666891.3,1979-07-01
462,2024-07-29,666891.3125,1979-07-01
463,2025-06-02,666891.3,1979-07-01
464,2025-06-16,666891.3125,1979-07-01
465,2025-07-21,666891.3,1979-07-01
466,2021-06-14,,1979-10-01
467,2022-02-07,680970.8,1979-10-01
468,2024-07-29,680970.8125,1979-10-01
469,2025-06-02,680970.8,1979-10-01
470,2025-06-16,680970.8125,1979-10-01
471,2025-07-21,680970.8,1979-10-01
472,2021-06-14,,1980-01-01
473,2022-02-07,697460.5,1980-01-01
474,2021-06-14,,1980-04-01
475,2022-02-07,699338.0,1980-04-01
476,2021-06-14,,1980-07-01
477,2022-02-07,714120.8,1980-07-01
478,2024-07-29,714120.8125,1980-07-01
479,2025-06-02,714120.8,1980-07-01
480,2025-06-16,714120.8125,1980-07-01
481,2025-07-21,714120.8,1980-07-01
482,2021-06-14,,1980-10-01
483,2022-02-07,746389.3,1980-10-01
484,2024-07-29,746389.3125,1980-10-01
485,2025-06-02,746389.3,1980-10-01
486,2025-06-16,746389.3125,1980-10-01
487,2025-07-21,746389.3,1980-10-01
488,2021-06-14,,1981-01-01
489,2022-02-07,781051.5,1981-01-01
490,2021-06-14,,1981-04-01
491,2022-02-07,790633.0,1981-04-01
492,2021-06-14,,1981-07-01
493,2022-02-07,815152.3,1981-07-01
494,2024-07-29,815152.3125,1981-07-01
495,2025-06-02,815152.3,1981-07-01
496,2025-06-16,815152.3125,1981-07-01
497,2025-07-21,815152.3,1981-07-01
498,2021-06-14,,1981-10-01
499,2022-02-07,820204.5,1981-10-01
500,2021-06-14,,1982-01-01
501,2022-02-07,818575.5,1982-01-01
502,2021-06-14,,1982-04-01
503,2022-02-07,832993.0,1982-04-01
504,2021-06-14,,1982-07-01
505,2022-02-07,841580.5,1982-07-01
506,2021-06-14,,1982-10-01
507,2022-02-07,850640.3,1982-10-01
508,2024-07-29,850640.3125,1982-10-01
509,2025-06-02,850640.3,1982-10-01
510,2025-06-16,850640.3125,1982-10-01
511,2025-07-21,850640.3,1982-10-01
512,2021-06-14,,1983-01-01
513,2022-02-07,868353.3,1983-01-01
514,2024-07-29,868353.3125,1983-01-01
515,2025-06-02,868353.3,1983-01-01
516,2025-06-16,868353.3125,1983-01-01
517,2025-07-21,868353.3,1983-01-01
518,2021-06-14,,1983-04-01
519,2022-02-07,894712.0,1983-04-01
520,2021-06-14,,1983-07-01
521,2022-02-07,922294.8,1983-07-01
522,2024-07-29,922294.8125,1983-07-01
523,2025-06-02,922294.8,1983-07-01
524,2025-06-16,922294.8125,1983-07-01
525,2025-07-21,922294.8,1983-07-01
526,2021-06-14,,1983-10-01
527,2022-02-07,948676.5,1983-10-01
528,2021-06-14,,1984-01-01
529,2022-02-07,977013.5,1984-01-01
530,2021-06-14,,1984-04-01
531,2022-02-07,1002400.3,1984-04-01
532,2024-07-29,1002400.3125,1984-04-01
533,2025-06-02,1002400.3,1984-04-01
534,2025-06-16,1002400.3125,1984-04-01
535,2025-07-21,1002400.3,1984-04-01
536,2021-06-14,,1984-07-01
537,2022-02-07,1021062.5,1984-07-01
538,2021-06-14,,1984-10-01
539,2022-02-07,1037137.8,1984-10-01
540,2024-07-29,1037137.8125,1984-10-01
541,2025-06-02,1037137.8,1984-10-01
542,2025-06-16,1037137.8125,1984-10-01
543,2025-07-21,1037137.8,1984-10-01
544,2021-06-14,,1985-01-01
545,2022-02-07,1057542.0,1985-01-01
546,2021-06-14,,1985-04-01
547,2022-02-07,1073721.8,1985-04-01
